sample,avg_log_fold_change
CLCN5,0.23515087719298253
CLCN4,-1.4044456140350878
FBXL19,0.9981666666666664
BRD8,-0.04476929824561405
BRD9,-0.09501929824561406
PCDHGA1,-0.22233245614035094
FBXL18,-0.25190877192982464
BRD4,0.2084324561403508
BRD7,-0.08359298245614037
BRD1,-0.2571412280701756
BRD2,0.05932982456140365
BRD3,0.23422543859649111
DNAJA2,-0.15472105263157873
DNAJA3,0.6476815789473686
DNAJA1,0.5300464912280702
TGFBR3,-3.0284350877192985
DNAJA4,0.745766666666667
GLG1,-0.49793245614035087
LOC643387,0.27960877192982464
PTPN12,0.13454912280701767
PTPN11,-0.4292956140350876
LOC84931,-0.19990964912280698
LOC100192379,0.09174210526315787
LOC100192378,-1.0586166666666663
MYCBP,0.6722377192982458
PTPN14,-1.493056140350877
GALR3,0.06908333333333333
GALR2,0.320507894736842
GALR1,-1.2792500000000004
SETD1B,0.06918157894736839
LYAR,-0.06943859649122812
PCDH20,-0.0869184210526316
C8orf30A,1.148666666666667
CH25H,-1.190957894736842
C16orf74,0.25783859649122787
C16orf75,2.3432166666666667
MRPL27,0.44367192982456144
CSF2RA,-0.5600263157894737
DMD,-3.5754324561403505
C16orf71,1.4438289473684205
C16orf72,0.2795280701754386
C16orf73,0.11311929824561405
GAB4,-0.3710263157894737
LRFN4,0.4545201754385966
C16orf78,-0.024390350877192983
C16orf79,0.17869999999999994
GAB1,-0.36241666666666655
C2orf81,0.5074052631578945
C2orf80,0.0407561403508772
C2orf83,-0.11233157894736842
C2orf82,-2.738544736842105
C2orf85,-0.20963684210526304
C2orf84,-2.0929157894736834
HABP2,0.049783333333333346
C2orf86,-0.724871052631579
C2orf89,-1.5207675438596484
C2orf88,-2.9957412280701754
FLJ46361,-0.02918157894736842
NDRG3,0.3017201754385965
NDRG4,-0.9043885964912278
TBC1D9,0.45486403508771917
ZSCAN2,-0.1759271929824562
PRAP1,-0.28551929824561395
CHD1L,0.19166052631578948
HOXA6,-2.733437719298246
HOXA5,-3.0158149122807023
SNORD38A,0.0
DNAJB13,0.0476640350877193
DNAJB12,-0.04614122807017542
DNAJB11,0.6649052631578949
HOXA4,-2.7697999999999996
HLA-DQB1,0.5586543859649122
MSMB,1.9337701754385963
UPF0639,1.498683333333333
DNAJB14,0.044035087719298247
RNF138,0.0018535087719297664
HOXA3,-2.49358947368421
ENOSF1,-0.2647666666666667
HOXA2,-2.8210780701754383
CISD2,0.6046324561403509
CISD3,0.4003649122807018
CISD1,0.33284122807017574
CLNS1A,0.48690964912280704
HOXA1,-0.9075035087719296
FLJ44635,-0.6817903508771926
R3HDML,0.38406403508771925
TSHZ2,-2.7538815789473685
TSHZ3,-0.5508236842105263
EIF4E1B,0.7559201754385962
MRC2,-0.19336228070175432
FOXS1,0.9967000000000001
PABPC1P2,0.05776666666666664
ZNF581,0.31981403508771933
IGLL1,-0.07862192982456138
MCOLN1,-0.04056578947368422
ZNF582,-0.5278087719298247
TIPARP,-1.0217947368421054
ZNF584,-0.04966403508771932
ZNF587,0.730459649122807
HAPLN4,-1.646627192982456
ZNF589,-0.3778263157894736
U2AF2,0.536638596491228
THSD1,-1.5782219298245614
SGK494,-0.0028447368421052363
TMEM115,-0.0067482456140351135
ZFP161,-0.29114298245614056
RELA,0.020370175438596528
?|26823,-0.13633684210526315
LPAR6,-1.1992807017543858
LSM12,0.47004649122807
PSD,0.8354728070175438
UXS1,0.2198429824561405
CAMKK2,-0.28737368421052645
CAMKK1,-0.2515605263157893
P2RX2,0.058199122807017514
HOXA9,-2.45174298245614
LOC84856,-1.2837631578947375
OR8U1,0.0
LPAR5,0.5612078947368422
ZP3,0.5833640350877191
LOC441046,-0.5045394736842105
ZP2,-0.5366289473684213
TMEM123,0.1581929824561403
MTRF1L,-0.297980701754386
MYO1H,-2.113211403508771
MYO1G,0.6304780701754384
MYO1F,0.13295263157894738
MYO1E,0.05292719298245621
MYO1D,0.5766631578947371
MYO1C,-0.6801842105263157
MYO1B,0.03956228070175441
MYO1A,-0.050042105263157874
GRN,0.5491956140350877
LCN6,-2.0836921052631574
LOC100128640,-1.0249289473684209
RPL36AL,-0.2913543859649121
RAET1G,-0.7606140350877187
KIAA0391,0.4233061403508772
CHMP7,-0.06257631578947374
CHMP6,-0.06844122807017537
BCR,-0.23639473684210519
OR52N4,-1.1696043859649121
OR52N5,-0.06398684210526316
OR52N2,-0.45174736842105256
CTPS2,0.6231929824561402
NDC80,3.3148614035087722
OR52N1,-0.07675087719298246
SULT6B1,-0.02625789473684211
LY6G6C,-0.00011140350877186107
HOXA13,-0.49682192982456136
LY6G6E,-0.025936842105263154
HOXA11,0.5111491228070176
HOXA10,-1.681463157894737
KRTAP19-2,0.0
KRTAP19-3,-0.0033964912280701758
PPIAL4C,0.8207377192982455
KRTAP19-1,0.02171315789473684
KRTAP19-6,0.0
KRTAP19-7,0.0
KRTAP19-4,0.0
FAM188A,-0.3476719298245611
FAM160B1,-0.35609912280701755
KRTAP19-8,0.0
FAM160B2,-0.45848157894736824
RAD54B,1.564140350877193
GALNTL5,0.023010526315789474
GALNTL4,0.05589824561403509
TSSK4,-0.8432035087719295
GALNTL6,0.34353070175438616
GALNTL1,-1.8275052631578945
LSM11,0.03038859649122812
ZNF323,-0.22051666666666675
GALNTL2,-2.8249877192982464
SNORD114-3,0.0
SF3B1,-0.035928070175438614
TUSC2,0.0484622807017544
SRI,-0.03601140350877197
SUN1,-0.5363640350877195
SRL,-1.8766833333333337
SRM,0.1268350877192982
SRR,-0.26892017543859653
LGALS9,0.5545219298245614
LGALS8,0.535761403508772
LGALS3,-0.9174745614035089
LGALS2,-0.5574640350877196
LGALS1,-0.4700675438596491
SRY,-0.023098245614035087
LGALS7,-1.7683666666666662
LGALS4,-1.3951903508771926
NMU,1.9890710526315798
RNF114,0.3095070175438598
AKIRIN2,-0.364359649122807
AKIRIN1,-0.10542456140350889
EIF2AK1,0.8179771929824563
ERCC6L,2.8114973684210534
EIF2AK3,0.42284298245614055
EIF2AK2,0.7283552631578946
TDG,0.5053973684210528
EIF2AK4,-0.06933508771929817
HN1,1.7714517543859656
SMS,0.8785438596491231
NMB,-1.9620350877192982
EREG,-1.4071745614035083
LOC729467,-1.7458543859649123
AVPI1,-1.2146666666666666
MYO16,-1.9470157894736853
FAM136B,0.07110175438596493
TRNT1,0.2800140350877194
ASAP1,0.23963859649122807
ASAP2,-0.016085087719298133
ASAP3,-0.032720175438596476
OCRL,0.21388245614035079
?|441362,0.006416666666666667
VSIG10L,-0.4976184210526316
PLAUR,1.5285587719298248
XIST,-1.0252096491228064
KRT28,0.0014429824561403497
TBX2,-0.2747491228070175
LOR,-0.17059561403508772
LRRC26,0.8107289473684207
KIAA1524,1.7609298245614038
LRRC24,0.7995850877192977
KIAA1522,0.7306578947368423
MPDU1,0.3415385964912282
KIAA1033,-0.14208947368421052
LOX,0.14441491228070163
LPGAT1,0.23026491228070195
LOC284661,-0.5116315789473683
SEMA6D,-2.2042052631578946
LRRC29,-0.6363228070175441
KIAA1529,-1.1580350877192982
SH3D20,-0.04439824561403506
GCNT4,-1.5570684210526318
GCNT7,-0.25636929824561394
PRKX,-0.41657719298245627
C14orf138,-0.11146228070175437
C14orf139,-3.054830701754385
GCNT3,0.807007894736842
GCNT2,-0.48860000000000003
C14orf135,-0.035849999999999986
LOC440957,-0.15132017543859652
