gene_name,alteration_frequency
AL355472.1,80.16928657799275
AL589763.1,80.16928657799275
AL513325.1,80.16928657799275
CRB1,80.16928657799275
EFCAB2,80.16928657799275
RNU6-1089P,80.16928657799275
BRINP3,80.16928657799275
RNU6-999P,80.16928657799275
AC096677.1,80.16928657799275
LINC02789,80.16928657799275
IPO9,80.13905683192262
KIF26B-AS1,80.13905683192262
AL359081.1,80.13905683192262
MIR4671,80.13905683192262
COA6,80.13905683192262
SRGAP2,80.13905683192262
AC104462.2,80.13905683192262
SLC35F3-AS1,80.13905683192262
DNAJC19P8,80.13905683192262
FABP7P1,80.13905683192262
DYRK3-AS1,80.13905683192262
AL122008.1,80.10882708585247
MIR4427,80.10882708585247
AL591721.1,80.10882708585247
AL356512.1,80.10882708585247
KCNK1,80.10882708585247
RAC1P7,80.10882708585247
DYRK3,80.10882708585247
RNU6-501P,80.07859733978235
AL359976.1,80.07859733978235
AC104462.1,80.07859733978235
MAPKAPK2,80.07859733978235
EIF2D,80.07859733978235
MIR5191,80.07859733978235
WDR26,80.07859733978235
IPO9-AS1,80.07859733978235
NAV1,80.07859733978235
AL591846.1,80.07859733978235
RPS10P7,80.07859733978235
C1orf100,80.07859733978235
AL645504.1,80.07859733978235
AC096677.2,80.07859733978235
SLC35F3,80.07859733978235
PHLDA3,80.07859733978235
AL732292.1,80.07859733978235
AL732292.2,80.07859733978235
ARID4B,80.07859733978235
AL122008.3,80.07859733978235
TARBP1,80.07859733978235
LINC02770,80.07859733978235
AL445493.1,80.04836759371221
SMYD3,80.04836759371221
OR2C3,80.04836759371221
AC092809.1,80.04836759371221
NVL,80.04836759371221
AC092809.4,80.04836759371221
AC092809.2,80.04836759371221
AC092809.3,80.04836759371221
FBXO28,80.04836759371221
GCSAML-AS1,80.04836759371221
HNRNPA1P46,80.04836759371221
C4BPAP1,80.04836759371221
LYST,80.04836759371221
AL122018.1,80.04836759371221
MIR4742,80.04836759371221
IKBKE,80.04836759371221
TOMM20,80.04836759371221
AL445493.2,80.04836759371221
FCF1P7,80.04836759371221
RASSF5,80.04836759371221
GCSAML,80.04836759371221
DEGS1,80.04836759371221
CNIH3,80.04836759371221
AC092800.1,80.04836759371221
AL513217.1,80.04836759371221
AL691482.2,80.04836759371221
AL691482.1,80.04836759371221
NLRP3,80.04836759371221
C1orf116,80.04836759371221
MIR1231,80.04836759371221
