,avg_delta_beta
MIR3193,0.21864402173913047
LINC00506,0.2186188664596273
KCNE3,0.2184087944664032
RP11-256I23.3,0.2182625
RP11-510C10.2,0.21821409400598618
C8orf88,0.21792201086956522
NKX2-1,0.217613487515753
CRISP2,0.2174519927536232
MIR4783,0.2173820652173913
SPARC,0.2172760416666667
CYP4F36P,0.21713749999999998
EIF1AXP1,0.2170372282608696
RP11-111A21.1,0.21686358695652172
GSX1,0.21639824168797953
PCDH8,0.2163408695652174
RP11-1260E13.4,0.2160269927536232
AC007041.2,0.2157903532608695
DPP10-AS1,0.2157621312111801
RP11-327F22.6,0.21531086956521736
HCG16,0.21505887681159427
C14orf39,0.21486447010869564
CTB-113P19.1,0.21480914158305453
PDIA3P1,0.21475896739130435
CYTL1,0.21470249094202898
LTC4S,0.2146367391304348
TBX20,0.2144748512585813
DMRTA2,0.21400619904891302
HOXB13-AS1_2,0.21384805900621123
HOXD12,0.21370778985507244
HIST1H4L,0.21350492753623188
FOXE1,0.21311271739130436
NKX2-1-AS1,0.2127360067287785
RNU5F-2P,0.21255464426877474
FOXO1B,0.21248953804347828
LINC01298,0.2124755434782608
LINC00961,0.2124140217391304
MED15P5,0.2123927536231884
RP11-480G7.2,0.21208396739130442
RP3-450M14.1,0.21206304347826094
MIR196A1,0.21197192028985512
CDX2,0.211904402173913
RP11-121G22.3,0.2118358695652174
AC005944.2,0.21139130434782605
CR1,0.21138308423913046
MIR497,0.21136902173913047
RP11-164H13.1,0.2110418478260869
RP11-1078H9.2,0.21082554347826085
RP11-688G15.3,0.21073532608695653
RP1-202O8.2,0.21026236413043478
MIR199A2,0.2101794565217391
RP11-307E17.8,0.20970570652173914
MIR124-3,0.2093722408026756
RP11-158M2.3,0.20867409420289856
ZNF132,0.20834993083003947
ZNF454,0.20825614548494986
XXbac-BPGBPG34I8.1,0.2081519927536232
LINC01460,0.20804438405797104
TPM4P1,0.20790135869565218
CDO1,0.2078228623188406
SFTA3,0.20774704710144923
ADAMTS20,0.20766800271739125
ZSCAN12P1,0.20765960144927537
CTD-2207P18.1,0.20705271739130432
FOXD4L3,0.2070141304347826
DBX1,0.2069971920289855
EPSTI1,0.20674434143222503
RPL17P40,0.20635489130434778
RP11-469J4.3,0.2062292572463768
ZSWIM2,0.20574841485507248
CD40,0.20559844202898553
RP11-896J10.3,0.20545046888320542
C5orf66-AS1,0.20523520531400968
NEFM,0.2050916666666667
EVX2,0.20504774427302475
AC007036.4,0.20485271739130437
KCNJ2-AS1,0.20478165760869566
MIR4740,0.20434021739130437
RP4-712E4.2,0.20429584842995166
ZNF350-AS1,0.20422763975155278
HIST1H1A,0.2041454347826087
RP11-304L19.12,0.20382415458937203
AC009108.2,0.20375597826086955
AC010890.1,0.20369332298136647
ALS2CR11,0.20350054347826085
TLX1,0.20340942820606503
FOXA2,0.20327815734989646
SLC18A3,0.20327133152173915
RP11-30K9.5,0.20317065217391306
CTC-205M6.5,0.20316521739130436
RP11-108M9.5,0.20307739130434782
RP11-108M9.4,0.20307739130434782
TRAJ28,0.2030657608695652
RP1-170O19.17,0.20280215028355386
FAM166B,0.20277676630434777
TCL1A,0.20260016722408025
RP4-756G23.5,0.20250298913043477
RP11-420L9.2,0.2024923913043478
HOXD9,0.20237313327032141
CTB-96E2.10,0.20214198369565214
HTR1B,0.20212677865612647
CXCL1P,0.20194809782608694
PABPC5-AS1,0.2019336050724638
PABPC5,0.2019336050724638
RP11-533O20.2,0.20184130434782607
CNOT7P2,0.20178369565217388
ZNF876P,0.20145847826086952
RP11-54D18.2,0.20136195652173908
CA3,0.2013574275362319
RP11-221N13.3,0.20122445652173915
NKX6-2,0.201062458970863
AC133785.1,0.2010505434782609
LHX8,0.20102129633136395
RP11-964E11.2,0.2010177631578947
CTD-2089N3.2,0.2009241459627329
AC064834.2,0.2008244565217391
CYCSP40,0.20056865942028979
NXPH1,0.20049957317073175
LHX1,0.20041725910693306
PRAC1,0.20036807065217396
LINC00676,0.20015054347826086
MGC45922,0.1998842391304348
CTD-2105E13.15,0.19978336956521742
ABCC9,0.1997466704805492
AC055876.1,0.19955284679089025
RP11-436H11.5,0.19941902173913045
RP11-1082L8.3,0.19920869565217392
VSX1,0.19878548136645965
CTD-2035E11.3,0.198570652173913
RP11-276H1.2,0.19853206521739133
CTC-441N14.4,0.19849972826086953
MIR184,0.19799547101449272
HNRNPA1P49,0.19797744565217396
RUVBL1-AS1,0.19791203416149064
GSN-AS1,0.19784130434782612
IZUMO2,0.19773967391304345
CTD-2168K21.2,0.19769915458937198
ZSCAN23,0.1976861956521739
XXbac-BPG157A10.21,0.19747351449275363
HOXD11,0.1974256800171343
AC115286.1,0.1974157608695652
ZIC5,0.19729408695652179
POU4F3,0.19717373188405793
RP11-472N13.3,0.19681195652173913
EVX1-AS,0.19664335403726704
CYP2A13,0.1965797101449275
AC138649.1,0.19647391304347825
CTD-2192J16.22,0.19644347826086953
STX18-IT1,0.1963961956521739
RP11-780K2.1,0.19631358695652174
AL355388.1,0.19616209239130436
TBX18,0.19612763157894736
SAMSN1,0.19611141304347826
Z82214.3,0.19592391304347825
RP11-2H3.7,0.1958342391304348
MIR3185,0.19576801242236028
DOK5,0.19571108695652176
SMIM17,0.1956874456521739
ZNF334,0.19564324534161487
AC072062.3,0.19544728260869568
FBXO39,0.19542711180124223
ELTD1,0.195390266798419
TDGF1P2,0.19538543478260867
HMX2,0.19529076086956523
HOTAIRM1,0.1949129302536232
AC142119.1,0.19478342391304349
GS1-393G12.12,0.1944934782608696
FYTTD1P1,0.19447608695652174
BAAT,0.19447608695652174
EVX1,0.19435645854398373
LINC01398,0.19435326086956523
DNM3OS,0.19411591614906834
CTD-2666L21.1,0.1939722049689441
ALX1,0.19396987092391302
TLX2,0.1938960196687371
SLC32A1,0.19373749411820065
RP11-826N14.2,0.19370760869565218
RP11-672L10.2,0.19340644409937885
RP11-441F2.2,0.19336195652173913
RP11-457M11.6,0.19316402173913041
LINC01224,0.19311684782608698
RP11-304L19.2,0.19301141304347827
HOXB13,0.19301096408317578
RP11-290M5.4,0.19294619565217394
RP11-177H13.2,0.1928155797101449
PPP1R14A,0.19272704603580557
WT1,0.19244017551674986
FABP3,0.19217994071146247
AC013733.3,0.1921186381074169
PRSS30P,0.19203355978260866
RP11-566E18.1,0.19180815217391306
RP11-685B14.3,0.19144402173913044
HAGLROS,0.19105302795031054
RP11-495P10.4,0.19051177536231884
WT1-AS,0.19049101449275369
PRAC2,0.1904035929951691
RP11-442J21.2,0.1902875
CCDC140,0.19017786145158808
MIR6843,0.19016032608695652
COX7A1,0.1901383152173913
UCN,0.18970659420289857
SCGB3A1,0.18969297101449276
SCGB1B2P,0.18964775815217386
OTX2,0.18955326086956523
LINC01305,0.1895148852657005
SSTR4,0.1894236111111111
CTD-2619J13.19,0.18931697957839264
CLEC14A,0.18922617753623192
CTD-2527I21.5,0.18892065217391305
RP11-1263C18.1,0.18889782608695646
Six3os1_2,0.18886348814229248
TCTEX1D1,0.18885438664596274
SNCA-AS1,0.18879641798418972
AL132709.1,0.188677536231884
RP5-1098D14.1,0.18847010869565217
AC093702.1,0.18842753623188407
RP11-299L17.3,0.1883
ZFHX4-AS1,0.18817596807065218
CFTR,0.1878606008122312
GSC2,0.18741730072463766
MSC,0.18730740677092286
SKOR2,0.18710637351778656
RP4-584D14.7,0.18705628881987577
SSTR1,0.1870162084398977
ZNF578,0.18694074088874676
RP11-626H12.1,0.1867658288043478
AC114814.4,0.18655163043478265
PRLHR,0.186439226342711
AC131951.1,0.18633170289855072
CTD-2523D13.1,0.18615597826086958
ZNF560,0.18601890527950313
TNFSF13B,0.1859321256038647
PCDHB19P,0.18590516304347826
ITGB5-AS1,0.18580054347826086
RP11-661C8.3,0.18576059782608698
RP11-54O15.3,0.18564239130434787
ZIC1,0.18552237274886596
FBXO47,0.18548086956521742
CTD-2314G24.2,0.1853665616765481
HIST1H3C,0.1852750494071146
MIR497HG,0.18525567632850243
KLF2P2,0.1851514130434783
TPRKBP2,0.1850336956521739
RP11-742D12.2,0.18502512077294686
MIR3150A,0.18478173913043475
RP11-439A17.4,0.1847330434782609
VAX1,0.18444504879605103
RP11-328K15.1,0.18426467391304344
CTB-43E15.2,0.18407336956521742
UNC93B6,0.1839921195652174
AL450327.1,0.18395135869565218
PCDHB15,0.18383936820652175
CTA-243E7.3,0.18371793478260873
RP11-311H10.7,0.18347717391304355
RP11-158M2.4,0.18347282608695653
MEIS1-AS2,0.18340634575569356
RP11-486M23.1,0.18340570652173915
RP11-363E6.3,0.18339945652173917
PAX9,0.18334590876382367
AC009531.2,0.1831026268115942
RP11-672L10.3,0.18303050739015414
LINC01475,0.18294136473429953
AF038458.3,0.1829016304347826
CTD-2619J13.5,0.18287391304347828
LINC01097,0.18285719063545153
SLITRK1,0.18282842650103523
RP11-223I10.1,0.1828266304347826
RP11-221J22.1,0.1828224637681159
LINC00941,0.18262286789297663
RP11-501C14.5,0.18256097308488609
PRDM13,0.18253235683987273
RP11-19O2.2,0.18242512077294687
RP4-580N22.2,0.18210489130434784
RP11-434H6.2,0.18196820652173915
AC123886.2,0.18187445652173917
CLEC11A,0.18180744147157188
RP11-231P20.6,0.18174103260869562
FAIM2,0.18157302371541503
ZIC4,0.1813046281199678
SP8,0.18125079192546584
CTD-2554C21.2,0.18106413043478262
HOXD13,0.1809431288819876
RP11-168L22.2,0.1808449456521739
RP11-179B15.6,0.18040597826086954
RN7SKP16,0.1803902173913043
ANO1-AS2,0.1803891304347826
NOX4,0.18032410117056855
CTD-2089N3.3,0.18011434782608693
RP11-815J21.1,0.17990380434782607
CHL1-AS2,0.17985808423913044
MIR25,0.17971510093167706
MIR6132,0.17964307065217394
SOX10,0.1795798418972332
AF186192.6,0.17937958074534163
RP11-1055B8.4,0.17929999999999996
RP11-175E9.1,0.17926665879017015
ZNF729,0.17919184782608696
RP11-249C24.10,0.1789842391304348
ENPP2,0.17892867391304346
CD46P1,0.1788753762541806
NEK4P2,0.1787845652173913
MIR124-2HG,0.1787439567868505
VSTM2B,0.17872136548913045
RP11-93O14.1,0.17850652173913045
RP11-94C24.8,0.1783304347826087
PRKCDBP,0.17815632992327365
AP003176.1,0.1779578804347826
HMGA1P7,0.1778829710144927
C6orf58,0.1776778079710145
OLIG2,0.17765733695652178
RP11-464C19.3,0.17764999999999997
RP11-480N24.3,0.17763405797101453
TRDV3,0.177625
RP11-213G6.2,0.17738627717391306
RP11-809N8.2,0.17732934782608695
IRX1,0.17715233695652177
ADCY4,0.1771017391304348
AC009487.5,0.1770053853754941
GSTM1,0.17694202898550723
NPY,0.1768235613810742
CTB-33G10.6,0.17673720138557095
LINC00567,0.17665905797101453
RP11-7I15.4,0.17660467391304344
AC003986.6,0.17618249999999996
RP3-467K16.2,0.17612000000000003
AC005618.9,0.17605018115942025
RP11-252I13.2,0.17605
C12orf71,0.17589375000000002
RNU2-32P,0.17582869565217396
DSC3,0.1756140450310559
IPMKP1,0.17555815217391305
OXCT2P1,0.17536440217391303
RP11-758N13.1,0.17522638888888892
RP11-137J7.2,0.1752104425465839
NMBR,0.1752104425465839
AGGF1P1,0.17509375
GPR150,0.17485831521739129
PHOX2B,0.17465276915113873
PACERR,0.17457625716674627
RP11-1090M7.3,0.17457309782608693
RP11-715H19.2,0.17455478260869564
ZNF662,0.17454592391304344
CTD-2647L4.4,0.17450815217391308
SLC35G2,0.1744162670502984
RP11-386G11.3,0.1742790760869565
OXT,0.1741644474637681
RP13-895J2.7,0.17401639492753626
AC008060.7,0.17385256211180122
DUSP5P2,0.17378496376811595
DRD5,0.17377713210702342
RASL10A,0.17371275083612042
RP11-110I1.6,0.17366521739130433
CTC-467M3.3,0.17362215719063542
ARHGAP42P2,0.173540625
RP11-158J3.2,0.17337051630434783
RP11-169K17.3,0.1733695652173913
KCNAB3,0.17331960073884625
ARAP1-AS2,0.1728717391304348
NR2E1,0.1728596082854799
LHX9,0.17275519807922415
RP5-1185H19.2,0.17264891304347826
IFNL4,0.17234208074534163
AC034110.1,0.17211141304347824
LEP,0.17198170289855072
OTP,0.17181664710968378
SLC7A5P1,0.17175016304347826
HSPB6,0.17149038901601832
RP11-4M23.2,0.17146010869565217
WT1-AS_6,0.17144547101449276
OLIG3,0.17117141943734016
SOX14,0.17111884057971016
RIPPLY2,0.1709989966555184
ANKDD1B,0.17099722222222222
PDX1,0.17088936594202897
TMEM5-AS1,0.1708391304347826
PABPC1P4,0.1708391304347826
MIR6720,0.17080896739130433
SNCA,0.17070600090579713
RP11-632K5.3,0.17058385869565215
MIR9-3,0.17045585748792272
MIR1180,0.17033804347826087
WT1-AS_1,0.1702409420289855
SPRY4-IT1,0.17024021739130435
SPRY4-IT1_1,0.17024021739130435
SPRY4-IT1_2,0.17024021739130435
MIR548H3,0.17022010869565218
RP11-357H14.17,0.1699725543478261
QRFPR,0.16991893115942028
MINOS1P2,0.1697994565217391
ZMYND10-AS1,0.16948185817805386
AKR1B1,0.16942445969997455
SMCR2_2,0.16940543478260867
SMCR2,0.16940543478260867
ALDH1L1-AS2,0.16928895881006864
FEZF2,0.16917331697054697
RP11-7N14.1,0.16905923913043477
HAAO,0.16904908026755852
RASGRF2-AS1,0.16900395256916995
ADCYAP1,0.16894697472692224
ALDOC,0.16894420289855072
RP11-20B24.7,0.16892663043478262
AC002395.1,0.16875706521739128
COL11A1,0.16869927536231885
C22orf31,0.1685657608695652
ULK4P2,0.16851331521739127
MIR671,0.16843718944099378
RP11-589P10.5,0.16837384057971017
RESP18,0.16803464371980678
RP4-555D20.3,0.16798783816425122
HIST1H1PS2,0.16797391304347825
FOXG1-AS1,0.1679628442028985
CBLN1,0.16788545396419438
RP1-163M9.7,0.16779593900966186
RP11-345F18.1,0.1677567934782609
MFAP4,0.16771907608695652
MIR6090,0.16771865942028985
AC016757.3,0.16770003623188406
UNCX,0.16756255808916193
TBX21,0.16755896739130433
BCHE,0.16737735507246376
RP11-19N8.3,0.16696304347826088
RP11-19N8.4,0.16696304347826088
Six3os1_3,0.16689277950310558
TMEM196,0.1667874698067633
CTD-2330J20.2,0.166751212374582
RP11-396F22.1,0.1667336956521739
RNU6ATAC32P,0.16669619565217395
AC066694.1,0.166583152173913
MNX1-AS2,0.16655815217391304
FOXB2,0.16644510869565216
HTR1A,0.16643039596273293
DGAT2L7P,0.16638659420289856
XXbac-BPG154L12.4,0.16618713768115945
SETP3,0.16615652173913045
HOTTIP_1,0.16606076086956523
LTK,0.165766618993135
MARCH11,0.16567040188787188
LINC01158,0.1655083658170915
FSIP2,0.1654885093167702
ADORA2A-AS1,0.16542030892448514
XXbac-BPGBPG24O18.1,0.16539121376811594
RP11-158H5.8,0.16534831521739132
RP11-665J16.1,0.16519923007246376
SIM1,0.16512768977673326
C1QTNF5,0.16498052536231886
FOXL2,0.16493110766045546
WT1-AS_7,0.1649248447204969
LHX5-AS1,0.1649207924263675
LHFPL4,0.16461048913043477
AC067960.1,0.16456304347826084
RP11-479O17.7,0.1644845108695652
ITPKB-IT1,0.16448423913043478
RP11-707M1.1,0.16443526570048309
RP11-343J3.2,0.16439144021739133
FOXC2,0.16422292798913043
CTD-2647E9.3,0.16418478260869568
RP4-620F22.2,0.16413260869565216
RP11-128A17.1,0.16397756916996048
PRDM14,0.16393143449656747
TBX15,0.16390543795898657
LINC01233,0.16385163043478262
